open,close,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis,G_tumida,G_ungulata,H_pelagica,G_scitula,S_dehiscens,G_tenellus,G_rubescens,B_digitata,D_anfracta,C_nitida
04/09/08,11/09/08,0,6.57,1.71,6,26.86,5.43,0,2,8.57,6.57,0.57,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/09/08,18/09/08,0.29,7.43,5.71,15.71,30.57,1.43,0.29,2.29,6.57,3.43,0,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/09/08,25/09/08,5.14,3.43,2.57,10.86,12,3.14,6,25.14,3.14,3.71,4.29,0.29,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/09/08,02/10/08,0.29,31.14,5.43,9.14,15.14,0.86,14.29,22.86,9.43,1.71,2.29,0.29,0.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/10/08,09/10/08,1.14,16.57,8.86,8,39.14,1.43,9.71,20,9.43,1.43,4.29,0,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/10/08,16/10/08,6,11.43,5.43,24.86,5.14,2.29,7.14,11.71,11.43,1.14,2.57,0,0,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/10/08,23/10/08,7.14,5.43,5.43,9.14,6,1.14,5.43,4,5.71,0,2.86,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/10/08,02/11/08,6,45.43,2.57,27.14,12.57,0.57,20,22,7.14,10,3.43,0,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/11/08,09/11/08,5.14,14.86,2.29,16,4,1.71,68.57,30.29,8,8.57,9.14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/11/08,16/11/08,44,45.14,18.29,38.29,11.43,5.14,177.71,36,14.29,1.14,6.86,0,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/11/08,23/11/08,34.86,19.43,6.29,33.71,11.43,2.86,125.14,72,18.29,0,5.14,0,0.57,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/11/08,30/11/08,9.71,84,2.86,42.86,8,1.14,305.14,49.14,15.43,1.14,3.43,0,5.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/08,07/12/08,12.57,33.14,2.86,54.86,16,2.86,322.86,99.43,41.71,1.14,6.29,0,47.43,16.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/12/08,14/12/08,4,16.57,1.71,28.57,2.86,0.57,76,64.57,19.43,1.14,0.57,0,9.14,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/12/08,21/12/08,3.43,12,1.14,18.86,2.86,3.43,120,72.57,37.71,1.14,12,4,12.57,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/12/08,28/12/08,1.71,39.43,1.71,27.43,14.29,6.29,97.14,67.43,108,0.57,2.29,24,24,68.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/12/08,04/01/09,0.57,22.86,1.71,9.14,4.57,0.57,53.71,42.29,89.14,0.57,3.43,85.14,6.86,6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/09,08/01/09,2,7,0,4,1,0,8,10,40,0,3,107,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/01/09,16/01/09,1.43,3.43,1.71,32.86,8.86,2.57,3.71,10,19.71,1.14,0,138.86,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/01/09,23/01/09,5.71,12,2.29,42.86,48,18.29,8,25.14,30.86,0,4,257.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/01/09,30/01/09,4,10,5.71,11.43,25.14,10.29,4.29,7.14,6.29,0.57,1.71,53.43,0.29,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/01/09,06/02/09,14.86,40,19.43,40.57,68,8.57,35.43,30.86,54.29,1.71,2.86,546.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/02/09,13/02/09,41.71,22.86,20,13.14,36.57,17.71,42.86,37.71,32.57,4,4.57,254.29,0,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/02/09,20/02/09,48,8,5.71,30.29,103.43,37.71,118.86,101.14,22.86,0.57,32.57,62.86,7.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/02/09,27/02/09,4.86,84.29,3.71,13.14,35.14,6.57,12,24,13.71,4,2.57,60.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/02/09,06/03/09,6.57,19.71,8.57,23.71,65.71,29.71,9.43,25.43,58.57,0.29,8.29,35.43,11.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/03/09,13/03/09,28.29,27.71,13.14,48.86,106.57,54.57,8.29,26,22.57,0,2.86,15.43,1.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/03/09,27/03/09,7.43,20.29,4.57,10.86,17.43,6.86,0.57,3.71,35.43,1.43,0.86,27.14,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/03/09,03/04/09,2.57,7.71,3.14,7.14,25.71,17.71,1.14,3.14,9.14,0,0.29,4.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/04/09,17/04/09,21.14,10.86,6,64.29,33.71,8.29,8.29,8.57,11.14,0.86,0,10.29,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/04/09,24/04/09,7.14,42.57,8.29,39.71,28.29,6.57,7.71,9.14,36,4.86,0.29,14.57,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/04/09,01/05/09,0.57,7.71,1.14,4,6.57,1.71,1.14,1.71,6,0.86,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/05/09,15/05/09,5.43,22,12,26.57,53.71,9.14,6.29,3.71,12.86,1.14,0.57,5.43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/05/09,22/05/09,2.86,11.71,6,17.14,22.86,4.86,2.57,2.57,12.86,1.14,1.14,6,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/05/09,27/05/09,0.4,14,2.8,8,28.8,3.2,1.2,1.2,6.8,1.6,0.8,5.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/09/09,04/10/09,1.43,0.57,3.71,2.57,4,0.29,0,0.57,1.43,1.71,0.29,0,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/10/09,11/10/09,17.71,1.14,1.43,2.57,15.71,9.43,0.29,1.14,13.14,5.43,0.57,0.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/10/09,18/10/09,12.57,7.14,0.29,7.43,30,14.57,0,3.14,6.86,2,0.57,0,0,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/10/09,01/11/09,4.86,3.43,0,5.71,10.29,21.71,0.29,4.86,16.29,0.57,2.29,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/11/09,08/11/09,6.29,3.71,0.86,6.57,6.86,3.71,1.71,12,9.43,0.57,2.29,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/11/09,15/11/09,5.14,3.14,1.14,3.14,1.14,1.14,2.57,7.14,4,0.86,3.43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/11/09,29/11/09,13.71,8.57,3.14,2.29,2.57,2.86,69.14,42.86,10,1.43,0.29,0,0.86,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/11/09,06/12/09,30.86,6,0.29,3.43,2.29,0.57,50.86,69.14,8,2.29,0,0.29,0.29,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/09,20/12/09,1.14,12,1.14,1.71,1.14,3.43,38.29,76,26.29,0.57,1.14,0,3.43,17.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/12/09,27/12/09,0.86,7.71,0,1.14,0,0.57,7.71,28.57,39.43,1.43,0,3.14,2.86,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/12/09,03/01/10,5.14,4.57,0,1.14,2.29,3.43,46.29,57.71,187.43,2.86,2.29,22.86,28,20.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/01/10,17/01/10,2.29,4,0.57,5.14,1.71,1.71,42.86,34.86,33.71,0.57,3.43,277.14,1.71,13.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/01/10,24/01/10,0,2.29,0,2.29,0,0,22.29,38.86,18.29,0,9.14,253.71,0.57,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/01/10,07/02/10,10.57,2,1.14,1.71,1.14,4.86,22,24,17.43,0,7.71,451.14,1.71,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/02/10,07/03/10,13.71,6,1.14,7.71,2.57,6.57,27.43,15.71,28.86,3.14,4.29,55.14,0.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/03/10,24/03/10,4,14.86,1.14,5.14,6,20,42.86,49.43,88.57,0.57,11.71,25.43,2.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/03/10,07/04/10,10.57,13.43,1.14,9.43,11.43,25.71,31.43,38,275.71,3.14,21.71,31.43,13.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/04/10,14/04/10,2.57,11.71,1.43,3.71,4.86,14.57,14.86,16.57,102,0.57,9.43,6.86,10.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/04/10,21/04/10,2.86,14.86,2.29,9.71,66.86,50.86,8,18.29,114.29,9.71,12.57,76.57,16.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/04/10,28/04/10,8.57,34.29,4,22.29,100,111.43,12,18.29,61.14,7.43,10.29,6.86,1.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/04/10,05/05/10,8.57,6.29,13.14,26.86,30.29,28.57,6.29,13.14,25.14,6.29,8.57,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/05/10,12/05/10,0,1.43,2,4.86,3.71,4,0.57,1.71,9.71,5.71,0.29,3.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/05/10,19/05/10,0.57,21.14,8.57,11.43,17.14,42.86,0,3.43,41.71,4.57,6.86,5.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/05/10,26/05/10,0.29,4.29,2,3.14,5.71,13.71,0,0.86,20,7.71,3.43,2.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/05/10,02/06/10,2.29,4.29,2.57,8.29,23.43,34.57,0,3.43,24.29,6.29,4.29,1.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/06/10,09/06/10,0.57,4.57,1.43,4.29,18.29,31.43,0,3.43,10.57,4.57,6.86,0.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/06/10,16/06/10,0,4,0,2.29,13.43,11.71,0,0.29,8.29,2.86,3.14,0.29,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/06/10,23/06/10,0.86,4.86,2.86,6.86,25.43,25.43,0.57,1.71,18.29,2.86,2.57,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/06/10,30/06/10,0.57,7.14,0.57,4.86,15.14,23.43,0.57,2.86,20,5.71,2,0.57,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/06/10,07/07/10,1.14,3.43,2.29,9.14,82.29,36.57,0,4.57,14.29,8.57,1.71,2.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/07/10,14/07/10,1.14,4,0.57,6.86,121.14,25.14,0,4.57,5.71,28,1.14,0.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/07/10,25/07/10,0,6.91,1.45,4.91,44.36,19.82,0,3.82,7.82,3.27,0.91,1.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/07/10,08/08/10,4,12.29,1.43,8,54.86,65.43,0.57,5.43,15.43,9.43,7.14,2,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/10,22/08/10,1.71,4.43,0.71,1.57,10.43,7.43,0,0.86,6.14,3.14,0.71,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/08/10,05/09/10,2.57,1.86,0.14,3.43,14.71,6,0,1,2.43,3.86,0.43,0.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/09/10,19/09/10,1.71,4,2.57,9.14,29.71,36.86,0,0.57,3.14,2,1.71,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/09/10,28/09/10,2,11.43,0,4,19.71,17.71,0,4.86,8.29,0.86,11.71,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/09/10,05/10/10,28,4,2.86,39.43,37.71,47.43,0.57,16,5.14,0,9.14,0.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/10/10,12/10/10,10.86,29.14,2.29,20,43.43,42.86,2.29,23.43,10.29,2.86,29.71,1.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/10/10,19/10/10,11.71,16.86,3.71,9.14,36.29,23.71,4.57,20.86,12.29,4.86,8.86,0.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/10/10,26/10/10,58.29,16.57,6.29,17.14,29.14,15.43,5.71,20.57,8,2.86,2.29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/10/10,02/11/10,104,2.29,2.29,8,30.86,38.86,10.29,17.71,6.29,0.57,1.14,1.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/11/10,09/11/10,21.71,24.29,1.14,10,35.43,23.43,5.14,11.43,7.43,1.71,0.86,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/11/10,16/11/10,10.86,12.86,2.29,6.57,32.29,41.43,15.43,14,4.57,0.57,2.57,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/11/10,23/11/10,45.71,21.14,1.14,16,40.57,59.43,60,25.71,5.14,0,1.71,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/11/10,30/11/10,60.57,2.86,0,4,10.86,17.14,41.14,36.57,2.29,1.71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/10,07/12/10,12.29,8.86,0.29,0.86,4.57,24.57,29.14,24.86,2.29,0.86,0.86,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/12/10,14/12/10,14.29,21.71,0,6.29,25.14,63.43,48,22.29,11.43,0.57,1.14,2.29,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/12/10,21/12/10,14.86,10.29,1.71,6.29,18.86,66.29,168.57,35.43,24.57,0.57,5.71,2.86,2.29,120.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/12/10,28/12/10,17.71,16,0.57,6.29,15.43,30.29,178.29,55.43,34.86,0,6.29,30.86,2.86,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/12/10,04/01/11,6.86,12,0.57,4,7.43,12.57,73.14,53.71,30.86,0.57,4.57,46.29,0.57,33.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/11,11/01/11,2.29,4.57,0.57,1.71,2.29,6.29,32.57,18.29,10.29,0,1.71,82.29,0,16.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/01/11,18/01/11,6.86,9.14,0,1.71,2.86,6.29,25.14,33.71,13.71,1.14,0.57,108.57,0.57,30.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/01/11,21/01/11,1.14,1.71,0,0,0,1.14,6.86,2.86,2.86,0,0,154.86,0,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/01/11,04/02/11,7.14,2.29,0.29,1.71,0.57,4.57,22,12.29,28.29,0.29,3.43,412.29,0,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/02/11,18/02/11,2.29,5.43,0,1.43,0.86,5.14,26.29,12,24.86,0.29,1.14,535.14,0.29,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/02/11,04/03/11,8,22.57,1.14,9.71,9.71,20.57,82.86,43.71,79.14,0,7.14,108.57,1.14,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/03/11,11/03/11,1.71,11.43,2.86,6.29,14.29,14.29,15.43,14.29,104.57,1.71,2.29,153.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/03/11,18/03/11,0.29,7.14,0.86,0.57,1.71,2,0.57,0.29,29.43,0,1.14,5.43,0,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/03/11,25/03/11,9.71,6.29,9.71,26.86,55.43,34.29,13.14,17.14,27.43,0.57,0,14.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/03/11,01/04/11,4.86,8.86,12.57,18,28.29,13.43,12.29,11.71,12.29,2.86,0.86,14.86,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/04/11,08/04/11,0.86,21.14,2.86,3.43,16.29,7.43,1.71,8,7.43,12.57,0.86,5.43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/04/11,15/04/11,1.14,8.86,3.71,11.43,30.57,29.14,4.29,11.14,7.14,8.57,2,4.86,0.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/04/11,22/04/11,7.14,6.57,4.86,9.43,25.71,12.29,10.57,25.43,2,2.29,1.14,3.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/04/11,29/04/11,8,3.14,14.29,19.43,33.43,7.14,10.29,15.71,8,10.29,0.86,8.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/04/11,06/05/11,1.14,4.86,4.57,5.43,10,2.57,1.43,7.71,4.29,1.14,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/05/11,13/05/11,1.14,12.29,5.14,14.57,42.29,42,2.57,8.86,14.29,0.57,4.29,2.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/05/11,20/05/11,3.43,7.43,6.57,7.71,33.43,27.14,8.86,20,6.86,4.57,3.71,8.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/05/11,27/05/11,2.29,3.71,4.29,12.29,32.57,23.71,3.43,7.71,8.57,1.71,1.71,2.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/05/11,03/06/11,2.57,8,4.29,5.14,22.57,20.57,5.14,9.71,8.29,1.43,1.71,1.71,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/06/11,10/06/11,0.57,20.57,7.43,7.43,35.43,40.57,2.29,5.14,37.71,2.29,7.43,1.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/06/11,24/06/11,16,8.57,13.14,25.43,28.29,15.14,4,8.86,10.29,4,1.43,5.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/06/11,08/07/11,9.43,6.86,8.57,18,21.43,12,1.14,5.71,5.14,5.43,1.43,3.43,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/07/11,22/07/11,3.43,5.14,10.29,22.29,35.71,29.43,1.43,4.86,4.86,8.29,0.86,1.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/07/11,09/08/11,1.33,7.11,5.33,12.44,22.89,7.78,1.33,4.22,3.33,3.56,0.22,1.11,0.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/08/11,28/08/11,3.43,6.43,3.43,11,30.43,22.57,0.14,1,5.57,11,0.14,0.43,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/08/11,11/09/11,0,20.86,3.14,36.57,52.86,42,0,0.29,5.14,3.43,0.57,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/09/11,25/09/11,4.57,13.14,24.57,195.43,190.57,215.14,0.57,5.14,4.86,5.14,6.29,4.86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/09/11,09/10/11,0.57,20.29,4.29,39.43,10.57,22.86,0,0.86,13.71,1.71,3.71,1.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/10/11,23/10/11,11.43,6,3.71,77.43,177.14,238,0.86,9.71,7.71,2.29,25.14,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/10/11,30/10/11,2.86,9.14,1.14,95.43,46.86,13.71,1.14,5.14,6.29,0.57,5.14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/10/11,06/11/11,2.57,3.43,0.29,14.57,9.14,8.57,2.86,5.14,10.29,0.57,1.43,4.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
